DATE_STRIN,LATITUDE,LONGITUDE,PENUMBRAL,PARTIAL ECLIPSE,DURATION
2000/1/10,22N,16E,327.2,213.8,98.8
2000/7/5,23S,129W,369.9,230.1,93.9
2000/12/29,23N,143E,283.9,151.2,-
2024/6/1,23S,139W,292.5,57.9,-
2019/11/1,21N,108E,163,-,-
2019/12/1,22N,81W,144.4,-,-
2015/5/2,19S,69W,262,63.5,-
2009/11/2,17N,16E,325.2,153.3,-
2004/5/3,15S,67E,316.7,208.7,91.3
2029/10/3,13N,17E,378.7,234.8,103.9
2023/4/4,11S,170E,299.4,180.8,-
2017/10/4,8N,12E,335.9,179.4,-
2014/3/5,2N,119E,167.1,-,-
2013/4/5,7S,49W,178.6,-,-
2006/9/5,6S,73E,134.7,-,-
2006/10/5,3N,94W,194.5,-,-
2003/3/6,7N,58E,335.6,168.4,-
2027/8/6,10S,165W,284.1,155.3,-
2020/2/7,12N,62E,375.1,234.7,105.2
2017/8/7,15S,45W,326.9,215.2,100.2
2010/2/8,16N,19E,314.1,153.2,-
2005/8/8,19S,139E,302.2,140.5,-
1931/12/8,22N,32E,175.3,-,-
2029/1/9,20N,130W,149.4,-,-
2026/6/9,23S,66W,222.8,-,-
2020/12/9,23N,155E,292.1,164,-
2015/6/10,23S,85W,346.6,201.7,-
2010/12/10,23N,55W,337.1,217.8,100
2004/6/11,22S,168E,335.2,212.7,79.8
2029/11/11,22N,173W,319,149.5,-
2024/4/12,11S,64E,96.4,-,-
2024/5/12,21S,42W,240.1,-,-
2017/11/12,20N,172E,149.5,-,-
2014/4/13,8S,171E,280.2,140.8,-
2007/10/13,4N,71E,300.7,117,-
2004/4/14,5S,26W,344.4,222.9,102.4
2027/9/14,1N,68W,332.2,215.7,97.7
2024/3/15,1S,116W,324.7,154.4,-
2016/9/15,3S,68E,294.9,172.5,-
2011/2/16,16N,134E,143.2,-,-
2012/3/16,3N,122W,131.2,-,-
2007/8/16,19S,34W,173.8,-,-
2005/9/16,6S,175W,179.3,-,-
1930/1/17,19N,64E,312,160.6,-
2027/7/17,21S,177E,327.2,178.9,-
2020/1/18,21N,113W,326.2,213.6,99
2016/7/18,22S,132E,372.7,233.6,101.7
2010/1/19,22N,12E,284.7,152.8,-
2005/7/19,23S,123E,306,108.8,-
2001/12/19,23N,20W,161.7,-,-
1930/12/19,22N,149E,145.2,-,-
2025/5/20,22S,177W,247.5,-,-
2019/11/20,20N,107W,325.5,151.6,-
2015/5/21,19S,46W,313.8,205.1,83.2
2008/11/21,16N,102W,378.8,234.6,103.5
2004/5/22,15S,56E,304.8,189.1,20.1
2028/10/22,12N,110W,336.4,181.5,-
2026/3/23,2S,7E,141.4,-,-
2024/4/23,11S,160W,199.2,-,-
2018/9/23,2S,51W,120.8,-,-
2017/10/23,7N,139E,199.6,-,-
2014/3/24,3N,51W,329.6,156,-
2006/9/24,6S,72E,280.1,147.2,-
2003/3/25,8N,49W,374,234.5,105.5
