DATE_STRIN,ECLIPSE_TYPE,MAGNITUD,LATITUDE,LONGITUDE,DURATION,EVENT
2000/6/20,P,0.8552,66.1N,172.7W,,solar_eclipse
2000/7/19,P,0.2024,63.6S,123.8W,,solar_eclipse
2000/12/14,A,0.915,71.8S,46.2W,07m12s,solar_eclipse
2010/6/1,T,1.0617,44.4N,121.2E,04m56s,solar_eclipse
2003/12/1,A,0.9558,24.7S,79.2W,05m14s,solar_eclipse
1930/5/2,H,1.0087,3.1S,72.5W,01m00s,solar_eclipse
2023/11/2,H,1.0074,20.0N,149.5E,00m45s,solar_eclipse
2020/5/3,P,0.5663,69.0S,139.3W,,solar_eclipse
2014/10/3,P,0.2914,71.4S,32.1W,,solar_eclipse
2012/11/3,P,0.4772,69.6N,41.2W,,solar_eclipse
2008/4/4,A,0.9486,61.7N,16.8E,04m15s,solar_eclipse
2002/10/4,H,1.0095,47.8S,156.3W,00m46s,solar_eclipse
2028/3/5,H,1.0022,6.6N,37.2W,00m14s,solar_eclipse
2022/9/5,A,0.9626,0.4S,91.0E,04m25s,solar_eclipse
2018/3/6,T,1.047,40.8S,150.3E,03m42s,solar_eclipse
2011/9/6,A,0.9281,48.0N,82.0E,07m13s,solar_eclipse
2006/2/7,P,0.5016,69.9N,9.8W,,solar_eclipse
2007/3/7,P,0.3647,71.5S,1.9W,,solar_eclipse
2001/8/7,P,0.1902,69.1S,102.2W,,solar_eclipse
1931/8/7,P,0.2739,71.2N,174.7W,,solar_eclipse
2027/1/8,A,0.9895,18.2N,172.1W,01m09s,solar_eclipse
2021/7/8,T,1.0298,18.0S,138.8E,03m03s,solar_eclipse
2015/1/9,A,0.9392,27.2S,105.2E,07m30s,solar_eclipse
2010/7/9,T,1.075,30.2N,89.4W,06m25s,solar_eclipse
2004/1/10,A,0.9138,75.7S,106.1E,07m03s,solar_eclipse
1930/6/10,T,1.0599,83.1N,11.6W,03m22s,solar_eclipse
2024/11/10,P,0.1234,63.3N,15.3E,,solar_eclipse
2024/12/10,P,0.2138,65.8S,70.4W,,solar_eclipse
2021/5/11,A,0.9804,55.4S,10.8W,01m36s,solar_eclipse
2014/11/11,T,1.0203,27.0N,174.2W,01m48s,solar_eclipse
2009/5/12,A,0.9525,4.5N,99.6W,05m48s,solar_eclipse
2002/11/12,Tm,1.0488,11.6S,60.7W,04m11s,solar_eclipse
2028/4/13,A,0.9512,41.8N,129.6W,04m41s,solar_eclipse
2023/10/13,T,1.0186,44.7S,48.9E,01m23s,solar_eclipse
2019/3/14,P,0.1919,60.9S,83.4E,,solar_eclipse
2018/4/14,P,0.524,61.2N,74.2E,,solar_eclipse
2013/9/14,P,0.1105,60.8N,112.1W,,solar_eclipse
2012/10/14,P,0.2948,61.0S,176.9E,,solar_eclipse
2009/3/15,T,1.0537,41.3S,165.7E,03m49s,solar_eclipse
2002/9/15,A,0.9272,53.8N,179.0E,06m15s,solar_eclipse
2026/2/16,T,1.0576,7.7S,107.9W,04m50s,solar_eclipse
2021/8/16,A,0.9598,16.9N,127.1E,04m22s,solar_eclipse
2015/2/17,H,1.0053,32.4N,16.8E,00m28s,solar_eclipse
2010/8/17,H,1.0118,22.9S,4.6W,01m08s,solar_eclipse
2006/1/18,P,0.2553,64.4S,30.9W,,solar_eclipse
2004/2/18,Pb,0.0205,62.2N,132.7W,,solar_eclipse
2001/7/18,P,0.7197,65.1N,64.1E,,solar_eclipse
1931/7/18,P,0.322,62.8S,111.3E,,solar_eclipse
2026/12/18,A,0.9167,71.7S,153.7W,06m56s,solar_eclipse
2021/6/19,T,1.0577,49.7N,13.9E,04m26s,solar_eclipse
2015/12/19,A,0.9589,26.0S,156.3E,04m47s,solar_eclipse
2010/6/20,H,1.0055,3.2N,178.4W,00m38s,solar_eclipse
2003/12/20,H,1.0098,18.0N,15.9E,01m01s,solar_eclipse
1930/5/21,P,0.7102,68.0S,111.8E,,solar_eclipse
2024/10/21,P,0.2698,70.9S,176.5W,,solar_eclipse
2023/11/21,P,0.482,68.6N,172.9E,,solar_eclipse
2019/4/22,A,0.9506,72.1N,108.8W,03m35s,solar_eclipse
2014/10/22,H,1.0037,53.6S,75.1E,00m17s,solar_eclipse
2009/4/23,Hm,1.0082,14.2N,149.4W,00m51s,solar_eclipse
2003/10/23,A,0.957,6.3S,28.2W,05m07s,solar_eclipse
2028/3/24,T,1.0531,33.0S,29.0E,04m24s,solar_eclipse
2021/9/24,A,0.925,40.9N,32.2W,08m05s,solar_eclipse
2016/2/25,P,0.4485,70.7N,148.5W,,solar_eclipse
2018/3/25,P,0.4452,71.7S,136.8W,,solar_eclipse
2012/8/25,P,0.0928,69.9S,137.9E,,solar_eclipse
2010/9/25,P,0.3525,71.7N,60.9E,,solar_eclipse
2006/2/26,A,0.9888,22.5N,62.4E,01m12s,solar_eclipse
2001/8/26,T,1.0296,24.7S,22.9E,02m53s,solar_eclipse
2026/1/27,A,0.9395,23.8S,13.0W,07m34s,solar_eclipse
2022/7/27,T,1.0741,24.8N,156.5E,06m31s,solar_eclipse
2015/1/28,A,0.9162,72.5S,0.9E,07m01s,solar_eclipse
2010/7/28,T,1.0582,75.9N,95.4W,03m30s,solar_eclipse
2005/12/28,P,0.1263,64.1N,122.1W,,solar_eclipse
2003/1/29,P,0.2309,66.9S,155.7E,,solar_eclipse
2001/6/29,P,0.8606,63.7S,111.2W,,solar_eclipse
2024/11/29,T,1.0217,25.5N,50.8E,01m59s,solar_eclipse
2021/5/30,A,0.9517,2.0N,164.1E,06m09s,solar_eclipse
2014/11/30,T,1.0473,14.6S,166.6E,04m08s,solar_eclipse
2010/5/31,A,0.9549,41.0N,136.1E,04m26s,solar_eclipse
1931/11/3,T,1.0143,48.8S,80.4W,01m04s,solar_eclipse
1932/3/29,Pe,0.1002,61.0S,39.0W,,solar_eclipse
1932/4/28,P,0.6596,61.6N,40.4W,,solar_eclipse
1932/9/23,Pe,0.0491,60.7N,125.2E,,solar_eclipse
1932/10/23,P,0.3144,61.4S,45.3E,,solar_eclipse
1933/3/19,T,1.0576,40.1S,46.9E,04m06s,solar_eclipse
1933/9/12,A,0.9233,52.8N,72.9E,06m36s,solar_eclipse
1934/3/9,T,1.0594,5.6S,130.6E,04m56s,solar_eclipse
1934/9/1,A,0.9593,15.5N,17.6E,04m20s,solar_eclipse
1935/2/26,H,1.0059,32.8N,105.0W,00m31s,solar_eclipse
1935/8/21,H2,1.013,21.7S,119.8W,01m13s,solar_eclipse
1936/1/17,P,0.2281,63.4S,159.7W,,solar_eclipse
1936/2/16,P,0.0641,61.7N,101.8E,,solar_eclipse
1936/7/12,P,0.5888,64.2N,59.5W,,solar_eclipse
1936/8/10,P,0.4325,62.2S,15.0W,,solar_eclipse
1937/1/5,A,0.9191,70.1S,97.6E,06m40s,solar_eclipse
1937/7/1,T,1.0529,54.1N,91.2W,03m54s,solar_eclipse
1937/12/25,A,0.9626,26.4S,31.9E,04m15s,solar_eclipse
1938/6/21,H,1.0016,8.7N,76.8E,00m11s,solar_eclipse
1938/12/14,H,1.0128,16.7N,117.8W,01m19s,solar_eclipse
1939/6/10,P,0.8534,67.0S,3.3E,,solar_eclipse
1939/11/5,P,0.2547,70.2S,38.5E,,solar_eclipse
1939/12/4,P,0.485,67.5N,27.3E,,solar_eclipse
1940/4/30,A+,0.9522,70.5N,70.2E,-,solar_eclipse
1940/10/24,A,0.9982,59.2S,53.7W,00m08s,solar_eclipse
1941/4/19,H,1.0139,22.0N,99.5E,01m24s,solar_eclipse
1941/10/14,A,0.9519,11.8S,148.6W,05m47s,solar_eclipse
1942/4/8,T,1.0588,25.1S,90.4W,05m05s,solar_eclipse
1942/10/3,A,0.9222,34.6N,148.4W,08m56s,solar_eclipse
1943/2/28,P,0.3816,71.3N,74.7E,,solar_eclipse
1943/3/29,P,0.5381,71.7S,90.2E,,solar_eclipse
1943/8/23,Pe,0.0091,70.6S,14.7E,,solar_eclipse
1943/9/22,P,0.4183,71.9N,66.4W,,solar_eclipse
1944/2/17,A,0.9881,27.9N,61.2W,01m13s,solar_eclipse
1944/8/11,T,1.029,31.5S,95.8W,02m39s,solar_eclipse
1945/2/5,A,0.9402,19.2S,129.3W,07m34s,solar_eclipse
1945/8/1,Tm,1.0724,18.9N,40.2E,06m30s,solar_eclipse
1946/1/25,A,0.9194,67.6S,109.2W,06m59s,solar_eclipse
1946/7/22,T,1.0552,68.1N,158.1E,03m34s,solar_eclipse
1946/12/16,P,0.1289,65.1N,100.0E,,solar_eclipse
1947/1/15,P,0.2553,68.0S,22.4E,,solar_eclipse
1947/6/12,P,0.7087,64.6S,137.2E,,solar_eclipse
